iso3,country_name,grid_intensity_gco2_per_kwh,electricity_price_usd_per_kwh,lat,lon
ZAF,South Africa,699.29,0.192,-29.002485842609016,25.092604298786405
ESP,Spain,153.6,0.246,40.22892768909155,-3.646951323417235
SWE,Sweden,35.26,0.233,62.77587519014131,16.75395450017719
CHE,Switzerland,39.22,0.364,46.80010070015298,8.229088880388336
THA,Thailand,545.74,0.127,15.127252533150704,101.01509602364344
TUN,Tunisia,560.29,0.067,34.10792636655204,9.576990903411668
TUR,Turkey,474.74,0.067,39.05942103494039,35.17066892014034
UKR,Ukraine,250.47,0.08,49.01847175648798,31.39358871868696
ARE,United Arab Emirates,467.51,0.08,23.911853183659307,54.33066634055084
GBR,United Kingdom,217.41,0.399,52.16343173061796,-3.677663352477161
USA,United States of America,384.4,0.182,45.66724802994592,-112.45792384473953
URY,Uruguay,80.4,0.251,-32.79627655200526,-56.01806857046899
VNM,Vietnam,460.73,0.078,16.65286026704595,106.30410786979188
ZMB,Zambia,119.68,0.023,-13.45661246754682,27.795762903937685
ZWE,Zimbabwe,384.02,,-18.99999939922497,29.872162810062942
